iteration	timestamp	target	mutation_type	verdict	gate1_score	gate1_verdict	bertscore_f1	legacy_composite	consecutive_discards	description	failures
1	2026-05-09T11:15:24.257Z	cv-generation	ADD_CONSTRAINT	discard	59/80	fail	N/A	0.8171	1	"ADD_CONSTRAINT: Add a specific rule or boundary condition to the prompt. This should prevent a class of errors observed in recent outputs."	"ats_structure; jd_requirements_coverage; metrics_preserved"
2	2026-05-09T11:27:15.549Z	cv-generation	ADD_NEGATIVE	discard	69/80	pass	N/A	0.9033	2	"ADD_NEGATIVE: Add a 'do NOT do this' instruction with a concrete bad example. Target the most common failure pattern in recent scorecard results."	"no_fabrication; metrics_preserved; action_verbs; no_fabricated_skills"
1	2026-05-09T11:31:57.477Z	cv-generation	ADD_CONSTRAINT	discard	65/80	pass	N/A	0.8836	1	"ADD_CONSTRAINT: Add a specific rule or boundary condition to the prompt. This should prevent a class of errors observed in recent outputs."	"no_fabrication; no_fabricated_skills; action_verbs; factual_preservation; metrics_preserved"
3	2026-05-09T11:34:02.021Z	cv-generation	RESTRUCTURE	discard	66/80	pass	N/A	0.8900	3	"RESTRUCTURE: Reorganize the prompt's sections, reorder instructions, or change the flow. Do not add or remove content — only change the order and grouping."	"no_fabrication; metrics_preserved; action_verbs; no_fabricated_skills"
2	2026-05-09T11:39:48.418Z	cv-generation	ADD_NEGATIVE	discard	64/80	pass	N/A	0.8835	2	"ADD_NEGATIVE: Add a 'do NOT do this' instruction with a concrete bad example. Target the most common failure pattern in recent scorecard results."	"no_fabrication; no_fabricated_skills; action_verbs; factual_preservation; metrics_preserved"
4	2026-05-09T11:45:50.109Z	cv-generation	TIGHTEN_LANGUAGE	discard	68/80	pass	N/A	0.8807	4	"TIGHTEN_LANGUAGE: Replace vague or ambiguous instructions with precise, specific ones. Target instructions that use words like 'appropriate', 'relevant', 'good', 'ensur"	"factual_preservation; no_fabrication; metrics_preserved; no_fabricated_skills"
3	2026-05-09T11:50:59.386Z	cv-generation	RESTRUCTURE	discard	64/80	pass	N/A	0.8767	3	"RESTRUCTURE: Reorganize the prompt's sections, reorder instructions, or change the flow. Do not add or remove content — only change the order and grouping."	"no_fabrication; no_fabricated_skills; action_verbs; jd_requirements_coverage; factual_preservation; metrics_preserved"
5	2026-05-09T11:54:14.782Z	cv-generation	REMOVE_BLOAT	discard	69/80	pass	N/A	0.8922	5	"REMOVE_BLOAT: Delete redundant, repetitive, or low-value instructions. Target instructions that are implied by other rules or that the model would follow anyway."	"no_fabrication; metrics_preserved; no_fabricated_skills"
4	2026-05-09T11:58:55.712Z	cv-generation	TIGHTEN_LANGUAGE	discard	64/80	pass	N/A	0.8690	4	"TIGHTEN_LANGUAGE: Replace vague or ambiguous instructions with precise, specific ones. Target instructions that use words like 'appropriate', 'relevant', 'good', 'ensur"	"no_fabrication; no_fabricated_skills; action_verbs; jd_requirements_coverage; factual_preservation; metrics_preserved"
6	2026-05-09T12:02:28.837Z	cv-generation	ADD_COUNTEREXAMPLE	discard	66/80	pass	N/A	0.8876	6	"ADD_COUNTEREXAMPLE: Add an edge case example showing correct handling of a tricky situation. Pick from recent scorecard failures or known difficult inputs."	"no_fabrication; factual_preservation; metrics_preserved; action_verbs"
5	2026-05-09T12:09:34.976Z	cv-generation	REMOVE_BLOAT	keep	67/80	pass	N/A	0.8928	0	"REMOVE_BLOAT: Delete redundant, repetitive, or low-value instructions. Target instructions that are implied by other rules or that the model would follow anyway."	"no_fabrication; action_verbs; metrics_preserved"
6	2026-05-09T12:26:50.947Z	cv-generation	ADD_COUNTEREXAMPLE	discard	65/80	pass	N/A	0.8851	1	"ADD_COUNTEREXAMPLE: Add an edge case example showing correct handling of a tricky situation. Pick from recent scorecard failures or known difficult inputs."	"no_fabrication; no_fabricated_skills; action_verbs; jd_requirements_coverage; metrics_preserved"
